ITEM: TIMESTEP
0
ITEM: NUMBER OF ENTRIES
864
ITEM: BOX BOUNDS xy xz yz pp pp pp
0.0000000000000000e+00 1.5605100000000000e+01 0.0000000000000000e+00
0.0000000000000000e+00 1.5605100000000000e+01 0.0000000000000000e+00
0.0000000000000000e+00 1.5605100000000000e+01 0.0000000000000000e+00
ITEM: ENTRIES c_nb[1] c_nb[2] 
1 241 
1 196 
1 262 
1 163 
2 242 
2 197 
2 263 
2 164 
4 235 
4 190 
4 265 
4 166 
5 236 
5 191 
5 266 
5 167 
10 223 
10 205 
10 244 
10 172 
11 224 
11 206 
11 245 
11 173 
13 217 
13 199 
13 247 
13 175 
14 218 
14 200 
14 248 
14 176 
19 232 
19 214 
19 253 
19 181 
20 233 
20 215 
20 254 
20 182 
22 226 
22 208 
22 256 
22 184 
23 227 
23 209 
23 257 
23 185 
28 289 
28 136 
28 316 
28 109 
37 271 
37 145 
37 298 
37 118 
46 280 
46 154 
46 307 
46 127 
55 115 
55 304 
55 136 
55 271 
58 109 
58 298 
58 139 
58 274 
64 124 
64 313 
64 145 
64 280 
67 118 
67 307 
67 148 
67 283 
73 133 
73 322 
73 154 
73 289 
76 127 
76 316 
76 157 
76 292 
82 163 
82 244 
82 190 
82 217 
83 164 
83 245 
83 191 
83 218 
91 172 
91 253 
91 199 
91 226 
92 173 
92 254 
92 200 
92 227 
100 181 
100 262 
100 208 
100 235 
101 182 
101 263 
101 209 
101 236 
109 83 
109 5 
118 92 
118 14 
127 101 
127 23 
136 2 
136 83 
139 5 
139 86 
145 11 
145 92 
148 14 
148 95 
154 20 
154 101 
157 23 
157 104 
163 55 
163 28 
164 56 
164 29 
166 58 
166 31 
167 59 
167 32 
172 64 
172 37 
173 65 
173 38 
175 67 
175 40 
176 68 
176 41 
181 73 
181 46 
182 74 
182 47 
184 76 
184 49 
185 77 
185 50 
190 28 
190 58 
191 29 
191 59 
199 37 
199 67 
200 38 
200 68 
208 46 
208 76 
209 47 
209 77 
217 37 
217 58 
218 38 
218 59 
226 46 
226 67 
227 47 
227 68 
235 28 
235 76 
236 29 
236 77 
244 55 
244 37 
245 56 
245 38 
247 58 
247 40 
248 59 
248 41 
253 64 
253 46 
254 65 
254 47 
256 67 
256 49 
257 68 
257 50 
262 73 
262 28 
263 74 
263 29 
265 76 
265 31 
266 77 
266 32 
271 11 
271 83 
274 14 
274 86 
280 20 
280 92 
283 23 
283 95 
289 2 
289 101 
292 5 
292 104 
298 83 
298 14 
307 92 
307 23 
316 101 
316 5 
3 243 
3 198 
3 264 
3 165 
6 237 
6 192 
6 267 
6 168 
12 225 
12 207 
12 246 
12 174 
15 219 
15 201 
15 249 
15 177 
21 234 
21 216 
21 255 
21 183 
24 228 
24 210 
24 258 
24 186 
29 290 
29 137 
29 317 
29 110 
30 291 
30 138 
30 318 
30 111 
38 272 
38 146 
38 299 
38 119 
39 273 
39 147 
39 300 
39 120 
47 281 
47 155 
47 308 
47 128 
48 282 
48 156 
48 309 
48 129 
56 116 
56 305 
56 137 
56 272 
57 117 
57 306 
57 138 
57 273 
59 110 
59 299 
59 140 
59 275 
60 111 
60 300 
60 141 
60 276 
65 125 
65 314 
65 146 
65 281 
66 126 
66 315 
66 147 
66 282 
68 119 
68 308 
68 149 
68 284 
69 120 
69 309 
69 150 
69 285 
74 134 
74 323 
74 155 
74 290 
75 135 
75 324 
75 156 
75 291 
77 128 
77 317 
77 158 
77 293 
78 129 
78 318 
78 159 
78 294 
84 165 
84 246 
84 192 
84 219 
93 174 
93 255 
93 201 
93 228 
102 183 
102 264 
102 210 
102 237 
110 84 
110 6 
111 82 
111 4 
119 93 
119 15 
120 91 
120 13 
128 102 
128 24 
129 100 
129 22 
137 3 
137 84 
138 1 
138 82 
140 6 
140 87 
141 4 
141 85 
146 12 
146 93 
147 10 
147 91 
149 15 
149 96 
150 13 
150 94 
155 21 
155 102 
156 19 
156 100 
158 24 
158 105 
159 22 
159 103 
165 57 
165 30 
168 60 
168 33 
174 66 
174 39 
177 69 
177 42 
183 75 
183 48 
186 78 
186 51 
192 30 
192 60 
201 39 
201 69 
210 48 
210 78 
219 39 
219 60 
228 48 
228 69 
237 30 
237 78 
246 57 
246 39 
249 60 
249 42 
255 66 
255 48 
258 69 
258 51 
264 75 
264 30 
267 78 
267 33 
272 12 
272 84 
273 10 
273 82 
275 15 
275 87 
276 13 
276 85 
281 21 
281 93 
282 19 
282 91 
284 24 
284 96 
285 22 
285 94 
290 3 
290 102 
291 1 
291 100 
293 6 
293 105 
294 4 
294 103 
299 84 
299 15 
300 82 
300 13 
308 93 
308 24 
309 91 
309 22 
317 102 
317 6 
318 100 
318 4 
7 238 
7 193 
7 268 
7 169 
8 239 
8 194 
8 269 
8 170 
16 220 
16 202 
16 250 
16 178 
17 221 
17 203 
17 251 
17 179 
25 229 
25 211 
25 259 
25 187 
26 230 
26 212 
26 260 
26 188 
31 292 
31 139 
31 319 
31 112 
34 295 
34 142 
34 322 
34 115 
40 274 
40 148 
40 301 
40 121 
43 277 
43 151 
43 304 
43 124 
49 283 
49 157 
49 310 
49 130 
52 286 
52 160 
52 313 
52 133 
61 112 
61 301 
61 142 
61 277 
70 121 
70 310 
70 151 
70 286 
79 130 
79 319 
79 160 
79 295 
85 166 
85 247 
85 193 
85 220 
86 167 
86 248 
86 194 
86 221 
88 169 
88 250 
88 196 
88 223 
89 170 
89 251 
89 197 
89 224 
94 175 
94 256 
94 202 
94 229 
95 176 
95 257 
95 203 
95 230 
97 178 
97 259 
97 205 
97 232 
98 179 
98 260 
98 206 
98 233 
103 184 
103 265 
103 211 
103 238 
104 185 
104 266 
104 212 
104 239 
106 187 
106 268 
106 214 
106 241 
107 188 
107 269 
107 215 
107 242 
112 86 
112 8 
115 89 
115 2 
121 95 
121 17 
124 98 
124 11 
130 104 
130 26 
133 107 
133 20 
142 8 
142 89 
151 17 
151 98 
160 26 
160 107 
169 61 
169 34 
170 62 
170 35 
178 70 
178 43 
179 71 
179 44 
187 79 
187 52 
188 80 
188 53 
193 31 
193 61 
194 32 
194 62 
196 34 
196 55 
197 35 
197 56 
202 40 
202 70 
203 41 
203 71 
205 43 
205 64 
206 44 
206 65 
211 49 
211 79 
212 50 
212 80 
214 52 
214 73 
215 53 
215 74 
220 40 
220 61 
221 41 
221 62 
223 43 
223 55 
224 44 
224 56 
229 49 
229 70 
230 50 
230 71 
232 52 
232 64 
233 53 
233 65 
238 31 
238 79 
239 32 
239 80 
241 34 
241 73 
242 35 
242 74 
250 61 
250 43 
251 62 
251 44 
259 70 
259 52 
260 71 
260 53 
268 79 
268 34 
269 80 
269 35 
277 17 
277 89 
286 26 
286 98 
295 8 
295 107 
301 86 
301 17 
304 89 
304 11 
310 95 
310 26 
313 98 
313 20 
319 104 
319 8 
322 107 
322 2 
9 240 
9 195 
9 270 
9 171 
18 222 
18 204 
18 252 
18 180 
27 231 
27 213 
27 261 
27 189 
32 293 
32 140 
32 320 
32 113 
33 294 
33 141 
33 321 
33 114 
35 296 
35 143 
35 323 
35 116 
36 297 
36 144 
36 324 
36 117 
41 275 
41 149 
41 302 
41 122 
42 276 
42 150 
42 303 
42 123 
44 278 
44 152 
44 305 
44 125 
45 279 
45 153 
45 306 
45 126 
50 284 
50 158 
50 311 
50 131 
51 285 
51 159 
51 312 
51 132 
53 287 
53 161 
53 314 
53 134 
54 288 
54 162 
54 315 
54 135 
62 113 
62 302 
62 143 
62 278 
63 114 
63 303 
63 144 
63 279 
71 122 
71 311 
71 152 
71 287 
72 123 
72 312 
72 153 
72 288 
80 131 
80 320 
80 161 
80 296 
81 132 
81 321 
81 162 
81 297 
87 168 
87 249 
87 195 
87 222 
90 171 
90 252 
90 198 
90 225 
96 177 
96 258 
96 204 
96 231 
99 180 
99 261 
99 207 
99 234 
105 186 
105 267 
105 213 
105 240 
108 189 
108 270 
108 216 
108 243 
113 87 
113 9 
114 85 
114 7 
116 90 
116 3 
117 88 
117 1 
122 96 
122 18 
123 94 
123 16 
125 99 
125 12 
126 97 
126 10 
131 105 
131 27 
132 103 
132 25 
134 108 
134 21 
135 106 
135 19 
143 9 
143 90 
144 7 
144 88 
152 18 
152 99 
153 16 
153 97 
161 27 
161 108 
162 25 
162 106 
171 63 
171 36 
180 72 
180 45 
189 81 
189 54 
195 33 
195 63 
198 36 
198 57 
204 42 
204 72 
207 45 
207 66 
213 51 
213 81 
216 54 
216 75 
222 42 
222 63 
225 45 
225 57 
231 51 
231 72 
234 54 
234 66 
240 33 
240 81 
243 36 
243 75 
252 63 
252 45 
261 72 
261 54 
270 81 
270 36 
278 18 
278 90 
279 16 
279 88 
287 27 
287 99 
288 25 
288 97 
296 9 
296 108 
297 7 
297 106 
302 87 
302 18 
303 85 
303 16 
305 90 
305 12 
306 88 
306 10 
311 96 
311 27 
312 94 
312 25 
314 99 
314 21 
315 97 
315 19 
320 105 
320 9 
321 103 
321 7 
323 108 
323 3 
324 106 
324 1 
