ITEM: TIMESTEP
0
ITEM: NUMBER OF ENTRIES
3456
ITEM: BOX BOUNDS xy xz yz pp pp pp
0.0000000000000000e+00 1.5605100000000000e+01 0.0000000000000000e+00
0.0000000000000000e+00 1.5605100000000000e+01 0.0000000000000000e+00
0.0000000000000000e+00 1.5605100000000000e+01 0.0000000000000000e+00
ITEM: ENTRIES c_nb[1] c_nb[2] 
1 241 
1 196 
1 262 
1 163 
1 100 
1 82 
1 34 
1 73 
1 55 
1 28 
2 101 
2 83 
2 242 
2 197 
2 263 
2 164 
2 35 
2 74 
2 56 
2 29 
4 235 
4 190 
4 265 
4 166 
4 103 
4 85 
4 28 
4 76 
4 58 
4 31 
5 104 
5 86 
5 236 
5 191 
5 266 
5 167 
5 29 
5 77 
5 59 
5 32 
10 223 
10 205 
10 244 
10 172 
10 82 
10 91 
10 43 
10 55 
10 64 
10 37 
11 83 
11 92 
11 224 
11 206 
11 245 
11 173 
11 44 
11 56 
11 65 
11 38 
13 217 
13 199 
13 247 
13 175 
13 85 
13 94 
13 37 
13 58 
13 67 
13 40 
14 86 
14 95 
14 218 
14 200 
14 248 
14 176 
14 38 
14 59 
14 68 
14 41 
19 232 
19 214 
19 253 
19 181 
19 91 
19 100 
19 52 
19 64 
19 73 
19 46 
20 92 
20 101 
20 233 
20 215 
20 254 
20 182 
20 53 
20 65 
20 74 
20 47 
22 226 
22 208 
22 256 
22 184 
22 94 
22 103 
22 46 
22 67 
22 76 
22 49 
23 95 
23 104 
23 227 
23 209 
23 257 
23 185 
23 47 
23 68 
23 77 
23 50 
28 76 
28 58 
28 289 
28 2 
28 136 
28 101 
28 83 
28 316 
28 5 
28 109 
37 58 
37 67 
37 11 
37 271 
37 145 
37 83 
37 92 
37 14 
37 298 
37 118 
46 67 
46 76 
46 280 
46 20 
46 154 
46 92 
46 101 
46 307 
46 23 
46 127 
55 28 
55 37 
55 89 
55 115 
55 304 
55 2 
55 136 
55 11 
55 271 
55 83 
58 31 
58 40 
58 83 
58 5 
58 109 
58 14 
58 298 
58 139 
58 274 
58 86 
64 37 
64 46 
64 98 
64 124 
64 313 
64 11 
64 145 
64 280 
64 20 
64 92 
67 40 
67 49 
67 92 
67 14 
67 118 
67 307 
67 23 
67 148 
67 283 
67 95 
73 46 
73 28 
73 107 
73 133 
73 322 
73 20 
73 154 
73 289 
73 2 
73 101 
76 49 
76 31 
76 101 
76 23 
76 127 
76 316 
76 5 
76 157 
76 292 
76 104 
82 163 
82 244 
82 4 
82 190 
82 13 
82 217 
82 55 
82 28 
82 37 
82 58 
83 5 
83 14 
83 164 
83 245 
83 191 
83 218 
83 56 
83 29 
83 38 
83 59 
91 172 
91 253 
91 13 
91 199 
91 226 
91 22 
91 64 
91 37 
91 46 
91 67 
92 14 
92 23 
92 173 
92 254 
92 200 
92 227 
92 65 
92 38 
92 47 
92 68 
100 181 
100 262 
100 22 
100 208 
100 235 
100 4 
100 73 
100 46 
100 28 
100 76 
101 23 
101 5 
101 182 
101 263 
101 209 
101 236 
101 74 
101 47 
101 29 
101 77 
109 83 
109 5 
109 298 
109 292 
109 139 
109 274 
109 164 
109 236 
109 191 
109 218 
109 167 
118 92 
118 14 
118 307 
118 274 
118 148 
118 283 
118 173 
118 218 
118 200 
118 227 
118 176 
127 101 
127 23 
127 316 
127 283 
127 157 
127 292 
127 182 
127 227 
127 209 
127 236 
127 185 
136 2 
136 271 
136 83 
136 316 
136 109 
136 298 
136 197 
136 263 
136 164 
136 245 
136 191 
139 5 
139 274 
139 319 
139 112 
139 86 
139 301 
139 191 
139 266 
139 167 
139 248 
139 194 
145 11 
145 280 
145 92 
145 298 
145 118 
145 307 
145 206 
145 245 
145 173 
145 254 
145 200 
148 14 
148 283 
148 301 
148 121 
148 95 
148 310 
148 200 
148 248 
148 176 
148 257 
148 203 
154 20 
154 289 
154 101 
154 307 
154 127 
154 316 
154 215 
154 254 
154 182 
154 263 
154 209 
157 23 
157 292 
157 310 
157 130 
157 104 
157 319 
157 209 
157 257 
157 185 
157 266 
157 212 
163 244 
163 235 
163 190 
163 217 
163 55 
163 28 
163 115 
163 289 
163 136 
163 271 
163 109 
164 245 
164 236 
164 191 
164 218 
164 116 
164 290 
164 137 
164 56 
164 272 
164 29 
164 110 
166 247 
166 238 
166 193 
166 220 
166 58 
166 31 
166 109 
166 292 
166 139 
166 274 
166 112 
167 248 
167 239 
167 194 
167 221 
167 110 
167 59 
167 293 
167 140 
167 275 
167 32 
167 113 
172 253 
172 217 
172 199 
172 226 
172 64 
172 37 
172 124 
172 271 
172 145 
172 280 
172 118 
173 254 
173 218 
173 200 
173 227 
173 125 
173 272 
173 146 
173 65 
173 281 
173 38 
173 119 
175 256 
175 220 
175 202 
175 229 
175 67 
175 40 
175 118 
175 274 
175 148 
175 283 
175 121 
176 257 
176 221 
176 203 
176 230 
176 119 
176 68 
176 275 
176 149 
176 284 
176 41 
176 122 
181 262 
181 226 
181 208 
181 235 
181 73 
181 46 
181 133 
181 280 
181 154 
181 289 
181 127 
182 263 
182 227 
182 209 
182 236 
182 134 
182 281 
182 155 
182 74 
182 290 
182 47 
182 128 
184 265 
184 229 
184 211 
184 238 
184 76 
184 49 
184 127 
184 283 
184 157 
184 292 
184 130 
185 266 
185 230 
185 212 
185 239 
185 128 
185 77 
185 284 
185 158 
185 293 
185 50 
185 131 
190 217 
190 265 
190 166 
190 247 
190 28 
190 58 
190 136 
190 316 
190 109 
190 298 
190 139 
191 218 
191 266 
191 167 
191 248 
191 137 
191 29 
191 317 
191 110 
191 59 
191 299 
191 140 
199 226 
199 247 
199 175 
199 256 
199 37 
199 67 
199 145 
199 298 
199 118 
199 307 
199 148 
200 227 
200 248 
200 176 
200 257 
200 146 
200 38 
200 299 
200 119 
200 68 
200 308 
200 149 
208 235 
208 256 
208 184 
208 265 
208 46 
208 76 
208 154 
208 307 
208 127 
208 316 
208 157 
209 236 
209 257 
209 185 
209 266 
209 155 
209 47 
209 308 
209 128 
209 77 
209 317 
209 158 
217 199 
217 166 
217 247 
217 175 
217 37 
217 58 
217 271 
217 109 
217 298 
217 118 
217 274 
218 200 
218 167 
218 248 
218 176 
218 272 
218 38 
218 110 
218 59 
218 299 
218 119 
218 275 
226 208 
226 175 
226 256 
226 184 
226 46 
226 67 
226 280 
226 118 
226 307 
226 127 
226 283 
227 209 
227 176 
227 257 
227 185 
227 281 
227 47 
227 119 
227 68 
227 308 
227 128 
227 284 
235 190 
235 184 
235 265 
235 166 
235 28 
235 76 
235 289 
235 127 
235 316 
235 109 
235 292 
236 191 
236 185 
236 266 
236 167 
236 290 
236 29 
236 128 
236 77 
236 317 
236 110 
236 293 
244 172 
244 190 
244 217 
244 199 
244 55 
244 37 
244 304 
244 136 
244 271 
244 145 
244 298 
245 173 
245 191 
245 218 
245 200 
245 305 
245 137 
245 56 
245 272 
245 146 
245 38 
245 299 
247 175 
247 193 
247 220 
247 202 
247 58 
247 40 
247 298 
247 139 
247 274 
247 148 
247 301 
248 176 
248 194 
248 221 
248 203 
248 59 
248 299 
248 140 
248 275 
248 149 
248 41 
248 302 
253 181 
253 199 
253 226 
253 208 
253 64 
253 46 
253 313 
253 145 
253 280 
253 154 
253 307 
254 182 
254 200 
254 227 
254 209 
254 314 
254 146 
254 65 
254 281 
254 155 
254 47 
254 308 
256 184 
256 202 
256 229 
256 211 
256 67 
256 49 
256 307 
256 148 
256 283 
256 157 
256 310 
257 185 
257 203 
257 230 
257 212 
257 68 
257 308 
257 149 
257 284 
257 158 
257 311 
257 50 
262 163 
262 208 
262 235 
262 190 
262 73 
262 28 
262 322 
262 154 
262 289 
262 136 
262 316 
263 164 
263 209 
263 236 
263 191 
263 323 
263 155 
263 74 
263 290 
263 137 
263 29 
263 317 
265 166 
265 211 
265 238 
265 193 
265 76 
265 31 
265 316 
265 157 
265 292 
265 139 
265 319 
266 167 
266 212 
266 239 
266 194 
266 77 
266 317 
266 158 
266 293 
266 140 
266 320 
266 32 
271 11 
271 145 
271 83 
271 109 
271 298 
271 118 
271 224 
271 164 
271 245 
271 173 
271 218 
274 14 
274 148 
274 112 
274 86 
274 301 
274 121 
274 218 
274 167 
274 248 
274 176 
274 221 
280 20 
280 154 
280 92 
280 118 
280 307 
280 127 
280 233 
280 173 
280 254 
280 182 
280 227 
283 23 
283 157 
283 121 
283 95 
283 310 
283 130 
283 227 
283 176 
283 257 
283 185 
283 230 
289 2 
289 136 
289 101 
289 127 
289 316 
289 109 
289 242 
289 182 
289 263 
289 164 
289 236 
292 5 
292 139 
292 130 
292 104 
292 319 
292 112 
292 236 
292 185 
292 266 
292 167 
292 239 
298 83 
298 14 
298 118 
298 139 
298 274 
298 148 
298 245 
298 191 
298 218 
298 200 
298 248 
307 92 
307 23 
307 127 
307 148 
307 283 
307 157 
307 254 
307 200 
307 227 
307 209 
307 257 
316 101 
316 5 
316 109 
316 157 
316 292 
316 139 
316 263 
316 209 
316 236 
316 191 
316 266 
3 243 
3 198 
3 264 
3 165 
3 102 
3 84 
3 36 
3 75 
3 57 
3 30 
6 237 
6 192 
6 267 
6 168 
6 105 
6 87 
6 30 
6 78 
6 60 
6 33 
12 225 
12 207 
12 246 
12 174 
12 84 
12 93 
12 45 
12 57 
12 66 
12 39 
15 219 
15 201 
15 249 
15 177 
15 87 
15 96 
15 39 
15 60 
15 69 
15 42 
21 234 
21 216 
21 255 
21 183 
21 93 
21 102 
21 54 
21 66 
21 75 
21 48 
24 228 
24 210 
24 258 
24 186 
24 96 
24 105 
24 48 
24 69 
24 78 
24 51 
29 290 
29 137 
29 77 
29 317 
29 110 
29 59 
29 3 
29 102 
29 84 
29 6 
30 78 
30 60 
30 291 
30 138 
30 318 
30 111 
30 1 
30 100 
30 82 
30 4 
38 272 
38 146 
38 59 
38 299 
38 119 
38 68 
38 12 
38 84 
38 93 
38 15 
39 60 
39 69 
39 273 
39 147 
39 300 
39 120 
39 10 
39 82 
39 91 
39 13 
47 281 
47 155 
47 68 
47 308 
47 128 
47 77 
47 21 
47 93 
47 102 
47 24 
48 69 
48 78 
48 282 
48 156 
48 309 
48 129 
48 19 
48 91 
48 100 
48 22 
56 116 
56 305 
56 137 
56 272 
56 29 
56 38 
56 90 
56 3 
56 12 
56 84 
57 30 
57 39 
57 117 
57 306 
57 138 
57 273 
57 88 
57 1 
57 10 
57 82 
59 110 
59 299 
59 140 
59 275 
59 32 
59 41 
59 84 
59 6 
59 15 
59 87 
60 33 
60 42 
60 111 
60 300 
60 141 
60 276 
60 82 
60 4 
60 13 
60 85 
