ITEM: TIMESTEP
0
ITEM: NUMBER OF ENTRIES
6912
ITEM: BOX BOUNDS xy xz yz pp pp pp
0.0000000000000000e+00 1.5605100000000000e+01 0.0000000000000000e+00
0.0000000000000000e+00 1.5605100000000000e+01 0.0000000000000000e+00
0.0000000000000000e+00 1.5605100000000000e+01 0.0000000000000000e+00
ITEM: ENTRIES c_nb[1] c_nb[2] 
1 268 
1 169 
1 214 
1 241 
1 196 
1 223 
1 181 
1 262 
1 163 
1 244 
1 100 
1 235 
1 190 
1 82 
1 322 
1 34 
1 115 
1 73 
1 289 
1 136 
1 55 
1 28 
2 269 
2 170 
2 215 
2 242 
2 197 
2 224 
2 182 
2 263 
2 164 
2 245 
2 101 
2 236 
2 191 
2 83 
2 323 
2 35 
2 116 
2 74 
2 290 
2 137 
2 56 
2 29 
4 262 
4 163 
4 208 
4 235 
4 190 
4 217 
4 184 
4 265 
4 166 
4 247 
4 103 
4 238 
4 193 
4 85 
4 316 
4 28 
4 109 
4 76 
4 292 
4 139 
4 58 
4 31 
5 263 
5 164 
5 209 
5 236 
5 191 
5 218 
5 185 
5 266 
5 167 
5 248 
5 104 
5 239 
5 194 
5 86 
5 317 
5 29 
5 110 
5 77 
5 293 
5 140 
5 59 
5 32 
10 250 
10 178 
10 196 
10 223 
10 205 
10 232 
10 163 
10 244 
10 172 
10 253 
10 82 
10 217 
10 199 
10 91 
10 304 
10 43 
10 124 
10 55 
10 271 
10 145 
10 64 
10 37 
11 251 
11 179 
11 197 
11 224 
11 206 
11 233 
11 164 
11 245 
11 173 
11 254 
11 83 
11 218 
11 200 
11 92 
11 305 
11 44 
11 125 
11 56 
11 272 
11 146 
11 65 
11 38 
13 244 
13 172 
13 190 
13 217 
13 199 
13 226 
13 166 
13 247 
13 175 
13 256 
13 85 
13 220 
13 202 
13 94 
13 298 
13 37 
13 118 
13 58 
13 274 
13 148 
13 67 
13 40 
14 245 
14 173 
14 191 
14 218 
14 200 
14 227 
14 167 
14 248 
14 176 
14 257 
14 86 
14 221 
14 203 
14 95 
14 299 
14 38 
14 119 
14 59 
14 275 
14 149 
14 68 
14 41 
19 259 
19 187 
19 205 
19 232 
19 214 
19 241 
19 172 
19 253 
19 181 
19 262 
19 91 
19 226 
19 208 
19 100 
19 313 
19 52 
19 133 
19 64 
19 280 
19 154 
19 73 
19 46 
20 260 
20 188 
20 206 
20 233 
20 215 
20 242 
20 173 
20 254 
20 182 
20 263 
20 92 
20 227 
20 209 
20 101 
20 314 
20 53 
20 134 
20 65 
20 281 
20 155 
20 74 
20 47 
22 253 
22 181 
22 199 
22 226 
22 208 
22 235 
22 175 
22 256 
22 184 
22 265 
22 94 
22 229 
22 211 
22 103 
22 307 
22 46 
22 127 
22 67 
22 283 
22 157 
22 76 
22 49 
23 254 
23 182 
23 200 
23 227 
23 209 
23 236 
23 176 
23 257 
23 185 
23 266 
23 95 
23 230 
23 212 
23 104 
23 308 
23 47 
23 128 
23 68 
23 284 
23 158 
23 77 
23 50 
28 322 
28 115 
28 154 
28 289 
28 136 
28 271 
28 127 
28 316 
28 109 
28 298 
28 76 
28 292 
28 139 
28 58 
28 263 
28 2 
28 164 
28 101 
28 236 
28 191 
28 83 
28 5 
37 304 
37 124 
37 136 
37 271 
37 145 
37 280 
37 109 
37 298 
37 118 
37 307 
37 58 
37 274 
37 148 
37 67 
37 245 
37 11 
37 173 
37 83 
37 218 
37 200 
37 92 
37 14 
46 313 
46 133 
46 145 
46 280 
46 154 
46 289 
46 118 
46 307 
46 127 
46 316 
46 67 
46 283 
46 157 
46 76 
46 254 
46 20 
46 182 
46 92 
46 227 
46 209 
46 101 
46 23 
55 142 
55 277 
55 322 
55 115 
55 304 
55 124 
55 289 
55 136 
55 271 
55 145 
55 28 
55 109 
55 298 
55 37 
55 197 
55 89 
55 224 
55 2 
55 164 
55 245 
55 11 
55 83 
58 136 
58 271 
58 316 
58 109 
58 298 
58 118 
58 292 
58 139 
58 274 
58 148 
58 31 
58 112 
58 301 
58 40 
58 191 
58 83 
58 218 
58 5 
58 167 
58 248 
58 14 
58 86 
64 151 
64 286 
64 304 
64 124 
64 313 
64 133 
64 271 
64 145 
64 280 
64 154 
64 37 
64 118 
64 307 
64 46 
64 206 
64 98 
64 233 
64 11 
64 173 
64 254 
64 20 
64 92 
67 145 
67 280 
67 298 
67 118 
67 307 
67 127 
67 274 
67 148 
67 283 
67 157 
67 40 
67 121 
67 310 
67 49 
67 200 
67 92 
67 227 
67 14 
67 176 
67 257 
67 23 
67 95 
73 160 
73 295 
73 313 
73 133 
73 322 
73 115 
73 280 
73 154 
73 289 
73 136 
73 46 
73 127 
73 316 
73 28 
73 215 
73 107 
73 242 
73 20 
73 182 
73 263 
73 2 
73 101 
76 154 
76 289 
76 307 
76 127 
76 316 
76 109 
76 283 
76 157 
76 292 
76 139 
76 49 
76 130 
76 319 
76 31 
76 209 
76 101 
76 236 
76 23 
76 185 
76 266 
76 5 
76 104 
82 196 
82 223 
82 262 
82 163 
82 244 
82 172 
82 235 
82 190 
82 217 
82 199 
82 4 
82 166 
82 247 
82 13 
82 136 
82 55 
82 271 
82 28 
82 109 
82 298 
82 37 
82 58 
83 197 
83 224 
83 263 
83 164 
83 245 
83 173 
83 236 
83 191 
83 218 
83 200 
83 5 
83 167 
83 248 
83 14 
83 137 
83 56 
83 272 
83 29 
83 110 
83 299 
83 38 
83 59 
91 205 
91 232 
91 244 
91 172 
91 253 
91 181 
91 217 
91 199 
91 226 
91 208 
91 13 
91 175 
91 256 
91 22 
91 145 
91 64 
91 280 
91 37 
91 118 
91 307 
91 46 
91 67 
92 206 
92 233 
92 245 
92 173 
92 254 
92 182 
92 218 
92 200 
92 227 
92 209 
92 14 
92 176 
92 257 
92 23 
92 146 
92 65 
92 281 
92 38 
92 119 
92 308 
92 47 
92 68 
100 214 
100 241 
100 253 
100 181 
100 262 
100 163 
100 226 
100 208 
100 235 
100 190 
100 22 
100 184 
100 265 
100 4 
100 154 
100 73 
100 289 
100 46 
100 127 
100 316 
100 28 
100 76 
101 215 
101 242 
101 254 
101 182 
101 263 
101 164 
101 227 
101 209 
101 236 
101 191 
101 23 
101 185 
101 266 
101 5 
101 155 
101 74 
101 290 
101 47 
101 128 
101 317 
101 29 
101 77 
109 298 
109 292 
109 139 
109 274 
109 263 
109 2 
109 164 
109 245 
109 101 
109 236 
109 191 
109 83 
109 218 
109 266 
109 5 
109 167 
109 248 
109 14 
109 86 
109 29 
109 59 
118 307 
118 274 
118 148 
118 283 
118 245 
118 11 
118 173 
118 254 
118 83 
118 218 
118 200 
118 92 
118 227 
118 248 
118 14 
118 176 
118 257 
118 23 
118 95 
118 38 
118 68 
127 316 
127 283 
127 157 
127 292 
127 254 
127 20 
127 182 
127 263 
127 92 
127 227 
127 209 
127 101 
127 236 
127 257 
127 23 
127 185 
127 266 
127 5 
127 104 
127 47 
127 77 
136 271 
136 316 
136 109 
136 298 
136 242 
136 197 
136 89 
136 224 
136 263 
136 2 
136 164 
136 245 
136 11 
136 101 
136 236 
136 191 
136 83 
136 218 
136 5 
136 56 
136 29 
139 274 
139 319 
139 112 
139 301 
139 236 
139 191 
139 83 
139 218 
139 266 
139 5 
139 167 
139 248 
139 14 
139 104 
139 239 
139 194 
139 86 
139 221 
139 8 
139 59 
139 32 
145 280 
145 298 
145 118 
145 307 
145 224 
145 206 
145 98 
145 233 
145 245 
145 11 
145 173 
145 254 
145 20 
145 83 
145 218 
145 200 
145 92 
145 227 
145 14 
145 65 
145 38 
148 283 
148 301 
148 121 
148 310 
148 218 
148 200 
148 92 
148 227 
148 248 
148 14 
148 176 
148 257 
148 23 
148 86 
148 221 
148 203 
148 95 
148 230 
148 17 
148 68 
148 41 
154 289 
154 307 
154 127 
154 316 
154 233 
154 215 
154 107 
154 242 
154 254 
154 20 
154 182 
154 263 
154 2 
154 92 
154 227 
154 209 
154 101 
154 236 
154 23 
154 74 
154 47 
157 292 
157 310 
157 130 
157 319 
157 227 
157 209 
157 101 
157 236 
157 257 
157 23 
157 185 
157 266 
157 5 
157 95 
157 230 
157 212 
157 104 
157 239 
157 26 
157 77 
157 50 
163 244 
163 235 
163 190 
163 217 
163 322 
163 34 
163 115 
163 304 
163 73 
163 289 
163 136 
163 55 
163 271 
163 316 
163 28 
163 109 
163 298 
163 37 
163 58 
163 2 
163 83 
164 245 
164 236 
164 191 
164 218 
164 323 
164 35 
164 116 
164 305 
164 74 
164 290 
164 137 
164 56 
164 272 
164 317 
164 29 
164 110 
164 299 
164 38 
164 59 
164 3 
164 84 
166 247 
166 238 
166 193 
166 220 
166 316 
166 28 
166 109 
166 298 
166 76 
166 292 
166 139 
166 58 
166 274 
166 319 
166 31 
166 112 
166 301 
166 40 
166 61 
166 5 
166 86 
167 248 
167 239 
167 194 
167 221 
167 317 
167 29 
167 110 
167 299 
167 77 
167 293 
167 140 
167 59 
167 275 
167 320 
167 32 
167 113 
167 302 
167 41 
167 62 
167 6 
167 87 
172 253 
172 217 
172 199 
172 226 
172 304 
172 43 
172 124 
172 313 
172 55 
172 271 
172 145 
172 64 
172 280 
172 298 
172 37 
172 118 
172 307 
172 46 
172 67 
172 11 
172 92 
173 254 
173 218 
173 200 
173 227 
173 305 
173 44 
173 125 
173 314 
173 56 
173 272 
173 146 
173 65 
173 281 
173 299 
173 38 
173 119 
173 308 
173 47 
173 68 
173 12 
173 93 
175 256 
175 220 
175 202 
175 229 
175 298 
175 37 
175 118 
175 307 
175 58 
175 274 
175 148 
175 67 
175 283 
175 301 
175 40 
175 121 
175 310 
175 49 
175 70 
175 14 
175 95 
176 257 
176 221 
176 203 
176 230 
176 299 
176 38 
176 119 
176 308 
176 59 
176 275 
176 149 
176 68 
176 284 
176 302 
176 41 
176 122 
176 311 
176 50 
176 71 
176 15 
176 96 
181 262 
181 226 
181 208 
181 235 
181 313 
181 52 
181 133 
181 322 
181 64 
181 280 
181 154 
181 73 
181 289 
181 307 
181 46 
181 127 
181 316 
181 28 
181 76 
181 20 
181 101 
182 263 
182 227 
182 209 
182 236 
182 314 
182 53 
182 134 
182 323 
182 65 
182 281 
182 155 
182 74 
182 290 
182 308 
182 47 
182 128 
182 317 
182 29 
182 77 
182 21 
182 102 
184 265 
184 229 
184 211 
184 238 
184 307 
184 46 
184 127 
184 316 
184 67 
184 283 
184 157 
184 76 
184 292 
184 310 
184 49 
184 130 
184 319 
184 31 
184 79 
184 23 
184 104 
185 266 
185 230 
185 212 
185 239 
185 308 
185 47 
185 128 
185 317 
185 68 
185 284 
